1,5,2025-04-01,Amazing experience!,2,3,1,1
2,4,2025-04-02,Great trip but could improve the accommodations.,6,4,2,5
3,5,2025-04-03,The best holiday ever!,10,7,3,8
4,3,2025-04-04,"Good trip, but food could be better.",12,9,4,11
5,4,2025-04-05,"Enjoyed the journey, would go again!",16,13,5,15
6,5,2025-04-06,Wonderful trip with a fantastic guide.,20,14,6,18
7,4,2025-04-07,"Beautiful destination, but very crowded.",22,17,7,23
8,3,2025-04-08,"Decent trip, but the transport was uncomfortable.",26,19,8,28
9,5,2025-04-09,"Had a blast, everything was perfect!",30,21,9,31
10,4,2025-04-10,"Great experience, but needs better planning.",34,24,10,35
11,5,2025-04-11,"Fantastic, I would recommend this trip to everyone!",37,25,11,41
12,4,2025-04-12,"Good overall, but the weather could have been better.",40,27,12,45
13,3,2025-04-13,Could have been better organized.,44,29,13,1
14,5,2025-04-14,Excellent trip with amazing views.,47,32,14,5
15,4,2025-04-15,"The trip was great, but the accommodation was not up to expectations.",50,33,15,8
16,3,2025-04-16,"Average experience, not what I expected.",2,36,16,11
17,4,2025-04-17,"Nice, but too much time spent traveling.",6,38,17,15
18,5,2025-04-18,Amazing guide and itinerary!,10,39,18,18
19,3,2025-04-19,"Not a bad trip, but it was very rushed.",12,42,19,23
20,4,2025-04-20,"Good, but some activities were overpriced.",16,43,20,28
21,5,2025-04-21,"Everything was perfect, will do again!",20,46,21,31
22,4,2025-04-22,"Lovely trip, but the meals were not great.",22,48,22,35
23,3,2025-04-23,"It was okay, but it didn’t meet my expectations.",26,49,23,41
24,5,2025-04-24,One of the best experiences of my life!,30,51,24,45
25,4,2025-04-25,"Nice experience, could have been better organized.",34,52,25,1
26,5,2025-04-26,Amazing views and great guides!,37,53,26,5
27,3,2025-04-27,A decent trip but nothing extraordinary.,40,54,27,8
28,4,2025-04-28,Good trip but the schedule was a bit tight.,44,55,28,11
29,5,2025-04-29,A fantastic journey with beautiful experiences.,47,56,29,15
30,3,2025-04-30,Too crowded for my liking.,50,57,30,18
